Student_ID ,First Name,Last Name,Full Name,Age,Sex,Enrollment Date, Total Payment ,Course 
101,John,Smith,John Smith,22,M,2022," $1,200.00 ",Data Science
102,Emily,Johnson,Emily Johnson,24,F,2022," $1,400.00 ",Machine Learning
103,Michael,Williams,Michael Williams,21,M,2022, $900.00 ,Data Science
105,David,Davis,David Davis,20,M,2021, $950.00 ,Web Devops
106,Jessica,Miller,Jessica Miller,25,F,2022," $1,300.00 ",Machine Learning
107,Brian,Wilson,Brian Wilson,19,M,2022," $1,000.00 ",Data Science
108,Amanda,Taylor,Amanda Taylor,22,F,2022," $1,200.00 ",Machine Learning
109,William,Anderson,William Anderson,24,M,2022, $950.00 ,Data Science
110,Olivia,Martinez,Olivia Martinez,26,F,2023," $1,150.00 ",Data Science
111,Williams,Smith,Williams Smith,22,M,2022," $1,200.00 ",Data Science
112,Emily,Emodi,Emily Emodi,24,F,2022," $1,400.00 ",Machine Learning
113,Esther,Adams,Esther Adams,21,M,2022, $900.00 ,Data Science
115,David,Davis,David Davis,20,M,2021, $950.00 ,Web Devops
116,Davis,Brown,Davis Brown,25,M,2023," $20,000.00 ",Data Analytics
118,Olawale,Akintola,Olawale Akintola,20,M,2021," $30,000.00 ",Web Devops
119,Wike,Akintola,Wike Akintola,25,M,2022," $36,000.00 ",Data Science
120,Ethan,Miller,Ethan Miller,22,M,2022," $1,200.00 ",Machine Learning
121,Olivia,Johnson,Olivia Johnson,24,F,2022," $1,400.00 ",Data Science
122,Noah,Williams,Noah Williams,21,M,2022, $900.00 ,Data Science
124,Liam,Davis,Liam Davis,20,M,2021, $950.00 ,Machine Learning
125,Ava,Miller,Ava Miller,25,F,2022," $1,300.00 ",Data Science
126,William,Wilson,William Wilson,19,M,2022," $1,000.00 ",Machine Learning
127,Sophia,Taylor,Sophia Taylor,22,F,2022," $1,200.00 ",Data Science
128,James,Anderson,James Anderson,24,M,2022, $950.00 ,Data Science
129,Isabella,Martinez,Isabella Martinez,26,F,2023," $1,150.00 ",Web Devops
130,Jackson,Murphy,Jackson Murphy,21,M,2023," $1,050.00 ",Machine Learning
131,Joseph,Williams,Joseph Williams,22,F,2023," $20,000.00 ",Machine Learning
132,Kylian,Eden,Kylian Eden,78,M,2024," $20,000.00 ",Machine Learning
133,Esther,Naomi,Esther Naomi,21,F,2022," $20,000.00 ",Web Devops
134,Lay,Martin,Lay Martin,22,M,2024," $20,000.00 ",Data Analytics
135,Ethe,Miller,Ethe Miller,22,M,2022," $1,200.00 ",Data Science
136,Olivian,Johnson,Olivian Johnson,24,F,2022," $1,400.00 ",Machine Learning
137,Noah,Ray,Noah Ray,21,M,2022, $900.00 ,Data Science
139,Liam,Davis,Liam Davis,20,M,2021, $950.00 ,Web Devops
140,Ava,Miller,Ava Miller,25,F,2022," $1,300.00 ",Machine Learning
141,Benjamin,Thompson,Benjamin Thompson,20,M,2022," $1,050.00 ",Web Devops
142,Mia,Hernandez,Mia Hernandez,23,F,2022," $1,350.00 ",Machine Learning
143,Alexander,Davis,Alexander Davis,21,M,2022, $920.00 ,Data Science
145,Daniel,White,Daniel White,24,M,2021, $970.00 ,Web Devops
146,Emily,Murphy,Emily Murphy,21,F,2023," $1,270.00 ",Machine Learning
147,Ethan,Miller,Ethan Miller,22,M,2022," $1,200.00 ",Data Science
148,Olivia,Rayay,Olivia Rayay,24,F,2022," $1,400.00 ",Machine Learning
149,Noah,Rock,Noah Rock,21,M,2022, $900.00 ,Data Science
151,Liam,Davis,Liam Davis,20,M,2021, $950.00 ,Web Devops
152,Ava,Miller,Ava Miller,25,F,2022," $1,300.00 ",Machine Learning
153,William,Wilson,William Wilson,19,M,2022," $1,000.00 ",Data Science
